id,doi,type,base_mat
1,10.1038/NCHEM.955,P,PbTe
2,10.1038/nature11439,P,PbTe
4,10.1038/ncomms9144,P,HH
5,10.1002/aenm.201200970,P,GeTe
6,10.1002/adma.201501030,P,Cu2Te
7,10.1126/science.1159725,P,PbTe
8,10.1126/science.1092963,N,PbTe
9,10.1038/am.2013.86,P,Bi2Te3
10,10.1039/c5ee02979a,P,PbTe
11,10.1039/c5ee02979a,N,PbTe
12,10.1126/science.aaa4166,P,Bi2Te3
13,10.1038/ncomms10287,P,Te
14,10.1002/aenm.201100149,N,Bi2Te3
15,10.1103/PhysRevLett.108.166601,N,Mg2Si
16,10.1038/am.2016.67,N,Bi2Te3
17,10.1038/nature09996,P,PbTe
18,10.1039/c0ee00456a,P,PbTe
19,10.1126/science.1156446,P,Bi2Te3
20,10.1038/nature08088,N,In4Se3
23,10.1073/pnas.1403601111,P,PbTe
25,10.1021/ja306527n,P,PbS
26,10.1021/ja301772w,P,PbS
27,10.1038/nature13184,P,SnSe
28,10.1126/science.aad3749,P,SnSe
31,10.1016/j.jssc.2006.12.010,N,Bi2Te3
32,10.1016/j.jallcom.2007.05.063,P,Bi2Te3
33,10.3938/jkps.66.1726,N,Bi2Te3
34,10.1063/1.3427427,P,Bi2Te3
35,10.1039/c3ra23197f,N,Bi2Te3
36,Enhancing Figure of Merit of Bi0.5Sb1.5Te3 Through Nano-composite Approach,P,Bi2Te3
37,10.1002/aenm.201401391,P,Bi2Te3
38,10.1002/aenm.201500411,N,Bi2Te3
39,10.1007/s11664-012-2280-6,P,Bi2Te3
40,10.1039/c3ta12623d,N,Bi2Te3
41,10.1002/adfm.201402663,N,Bi2Te3
42,10.1063/1.1863440,N,Bi2Te3
43,10.3365/eml.2010.12.201,P,Bi2Te3
44,10.1007/s11664-012-2356-3,P,Bi2Te3
45,10.1039/c3ce40643a,N,Bi2Te3
46,10.1021/nl101156v,N,Bi2Te3
47,10.1007/s11664-013-2822-6,N,Bi2Te3
48,10.3938/jkps.64.1416,N,Bi2Te3
49,10.3938/jkps.65.696,N,Bi2Te3
50,10.1007/s11664-014-3485-7,N,Bi2Te3
51,10.3938/jkps.64.1692,N,Bi2Te3
52,10.1002/aenm.201100338,N,Bi2Te3
53,10.1063/1.4749806,N,Bi2Te3
54,10.1002/adma.201203764,N,Bi2Te3
55,10.3390/ma8030959,P,Bi2Te3
56,10.1063/1.4916947,N,Bi2Te3
57,10.1063/1.4916947,P,Bi2Te3
60,10.1039/c4nr00191e,N,Bi2Te3
62,10.1021/nl203389x,N,Bi2Te3
63,10.1016/j.jallcom.2013.03.062,P,Bi2Te3
64,10.1021/nl2034859,N,Bi2Te3
65,10.1039/c4ta01554a,P,Bi2Te3
66,10.1063/1.2425007,P,Bi2Te3
67,10.1088/0957-4484/24/28/285702,N,Bi2Te3
68,10.1002/pssa.201228589,N,Bi2Te3
70,10.1103/PhysRevB.85.125207,N,Bi2Te3
71,10.1021/nl202935k,N,Bi2Te3
72,10.1002/adfm.201600718,N,BiMI
73,10.1111/j.1551-2916.2012.05284.x,N,In2O3
74,10.1016/j.jallcom.2013.03.167,N,Bi2Te3
75,10.1063/1.4893236,P,GeInSbTe
77,10.1021/cm803437x,N,PbTe
78,10.1021/ja910762q,N,PbTe
79,10.1039/c3ee40482j,P,PbTe
80,10.1103/PhysRevB.82.115209,P,PbTe
81,10.1103/PhysRevB.83.195209,N,PbSe
