Noise [%],Seebeck: sample mean [%],Seebeck: half-length of 95% confidence interval for population mean [%],Seebeck: sample standard deviation [%],elec_resi: sample mean [%],elec_resi: half-length of 95% confidence interval for population mean [%],elec_resi: sample standard deviation [%],thrm_cond: sample mean [%],thrm_cond: half-length of 95% confidence interval for population mean [%],thrm_cond: sample standard deviation [%]
0,1.5436768097265956,0.46868488324278934,3.955231044919038,1.9824994349385174,0.3428687326254209,2.89346873368136,1.4997412741748977,0.37990676262460416,3.2060326147304634
1,2.0314311914418943,0.45273601045812795,3.8206385307912045,2.325242851332226,0.33153907593095444,2.797857777389827,1.916419971929311,0.37436733021075425,3.1592853526833107
2,2.7484033709604625,0.4363453295577213,3.6823175986200956,2.9620919195109523,0.30367445984528035,2.562708322954112,2.6168043675408477,0.3544189549925679,2.9909410433623895
3,3.6126282064189854,0.43711124350309094,3.6887811452860397,3.646337776392208,0.29509563481429574,2.4903116310516302,3.3747326338378145,0.34328211851708745,2.896957296617161
4,4.4512747758466045,0.41219469154631627,3.478510399726871,4.341027665044713,0.2945579858134636,2.485774411919134,4.23635042093459,0.32837067288654864,2.771119628727247
5,5.199429033957696,0.4086917453034775,3.4489490415014954,5.091499097233587,0.2576520586868948,2.1743253468190162,5.040397329677429,0.32318073198076763,2.7273217250060666
6,6.103798792524825,0.40004793988019566,3.3760039801633566,5.946449796383269,0.29526448662042526,2.491736571196858,5.997077111036899,0.32681764578331624,2.7580136352721016
7,6.985491568343403,0.4002035145842594,3.377316874863649,6.851118814091302,0.28520627436034196,2.4068553326294553,6.7289066019166075,0.34893143120199593,2.9446318381112384
8,8.020504232703514,0.3977856538831014,3.3569125519391654,7.528029970542526,0.28071891073024907,2.368986477511314,7.893301550857388,0.34146361033483325,2.881610908724029
9,8.94351895542244,0.3971463282624452,3.351517283960528,8.633495569597535,0.3026877749033327,2.5543816901706013,8.591470488125585,0.3154487900399159,2.662071878263887
10,9.835134502008565,0.4090327985950835,3.451827189731066,9.273490764291951,0.29140178765844515,2.4591392603002618,9.327119878420298,0.28630078400765463,2.4160918979440056
