# of nodes,Seebeck: sample mean [%],Seebeck: half-length of 95% confidence interval for population mean [%],Seebeck: sample standard deviation [%],elec_resi: sample mean [%],elec_resi: half-length of 95% confidence interval for population mean [%],elec_resi: sample standard deviation [%],thrm_cond: sample mean [%],thrm_cond: half-length of 95% confidence interval for population mean [%],thrm_cond: sample standard deviation [%]
3,2.684880878641125,0.38640024157902164,3.2608310741395674,5.623422694249553,1.1475963719563065,9.684564106256293,2.503329342601686,0.41693831969517375,3.518541870744454
4,1.6253504133386376,0.23158654085838953,1.9543584799469973,3.1429058548391766,0.5926355963006574,5.0012509313175695,1.4587928802703942,0.30880496938511215,2.606004685464879
5,1.1794941522604434,0.18322167063423472,1.5462074107883128,2.1503428241181064,0.41609671649712743,3.5114395825857563,1.0471663173345762,0.22351773254400278,1.8862658183707304
6,0.8696827797078752,0.12515383311510545,1.0561730148037523,1.508257027593347,0.2506798215506026,2.1154866478125562,0.8378603206892385,0.15740934228139863,1.328377209531546
7,0.7146755942880523,0.10771037309437899,0.9089676811744157,1.2955429076199798,0.2378589983530472,2.007291739580108,0.7338407621485779,0.16429075210668287,1.3864494169931116
8,0.6199211627596629,0.1003577710823414,0.8469190835372684,1.0749548833015865,0.19434815761465013,1.640103818159808,0.6164836083463882,0.13331777240478399,1.1250684865415161
9,0.5306470434542577,0.08095611582900147,0.6831885432009066,0.8960797052567013,0.17672171983934928,1.4913543355269556,0.5200248209451126,0.10291606852671621,0.8685085519325751
10,0.470275508176627,0.08195135561080988,0.6915873702655035,0.81199398465449,0.15992893001820893,1.3496400067612722,0.46566820833291167,0.09578221313298493,0.8083059566877175
11,0.405973692034765,0.0713326900249604,0.6019764669008034,0.6813290777133879,0.1341426171969875,1.1320293505377914,0.39057659354709906,0.07812440015546206,0.6592916987691542
12,0.3731545770976531,0.07168902680572269,0.6049835924730346,0.5982549249465391,0.11574408821325959,0.9767641913250786,0.3338814104078583,0.06813637325118432,0.5750027543168507
13,0.32392060159468034,0.0629351627613353,0.5311097465921857,0.5299332896847525,0.09169702455948703,0.7738310562845883,0.3128619529685693,0.0725012385546214,0.6118378462353178
14,0.29869350314391374,0.06830261894105745,0.5764057014507984,0.473654181898173,0.07764978157385406,0.6552863932524005,0.26532973482955324,0.05312048558809976,0.4482837002668765
15,0.270900751041027,0.06458249532522416,0.5450115836920266,0.41709878550525176,0.06857607419151888,0.5787133899099136,0.2637601210007632,0.06979388356750163,0.5889904814545652
16,0.2430461736016818,0.0639886794218176,0.5400003721507669,0.3842921008477243,0.05995024271839559,0.5059200107109018,0.22125934334500108,0.051364940773759644,0.43346866014357943
