# of nodes,Seebeck: sample mean [%],Seebeck: half-length of 95% confidence interval for population mean [%],Seebeck: sample standard deviation [%],elec_resi: sample mean [%],elec_resi: half-length of 95% confidence interval for population mean [%],elec_resi: sample standard deviation [%],thrm_cond: sample mean [%],thrm_cond: half-length of 95% confidence interval for population mean [%],thrm_cond: sample standard deviation [%]
3,5.11557497331042,0.7109013791030333,5.999295699595906,8.058069296350249,1.2039197384639673,10.159876913923808,5.013306973271593,0.8577685496710457,7.238707537440709
4,3.728492803126049,0.6379692667888173,5.383821710332893,5.732354268863745,0.976134950875298,8.237601424265474,3.586000442671686,0.6816448838385272,5.752400178803617
5,3.064852452150485,0.5811617919650105,4.90442351329272,4.424596309341033,0.7702131836289066,6.499827931332895,3.0577186333491597,0.7066696205688072,5.963583895508337
6,2.5494429411993513,0.5203996840104091,4.391652173039644,3.781355095228519,0.68856866348485,5.810829945123024,2.4781186674175197,0.5161535263555411,4.355818854794015
7,2.280770365177994,0.5107201939007796,4.309966970146592,3.2872495781104183,0.6065287209155849,5.118494989644545,2.3140656713112615,0.4987628553916014,4.209059007937775
8,2.0566168786017145,0.5025384460107721,4.240921211656671,2.767392522829992,0.4799780140502496,4.050533759303492,2.078501719712225,0.4817817585529171,4.0657555565261605
9,1.7954046808410913,0.47857974390005326,4.038733759548911,2.5579187384953292,0.467592082406953,3.9460089002620395,1.8138097058571678,0.4128840724162776,3.484328083881263
10,1.6693622662554692,0.4750969114647082,4.009342141715589,2.2779981001617133,0.41077452399751124,3.466525607857425,1.6137393417068646,0.3530760114647371,2.979607944893118
11,1.5436768097265958,0.46868488324278934,3.9552310449190387,1.9824994349385177,0.3428687326254209,2.89346873368136,1.4997412741748977,0.37990676262460416,3.2060326147304634
12,1.3957953332518989,0.46609681338189385,3.9333903271442123,1.9007494289522888,0.31533041311115523,2.6610728955350296,1.3724910460687592,0.3348248434033532,2.825586364288766
13,1.2753018192363494,0.4676639118970749,3.9466150692242326,1.7159751501735347,0.2877414164988779,2.428249393432619,1.1876172732161467,0.24102553851143427,2.034014167350298
14,1.2619049721554885,0.552348428566432,4.661267581669561,1.502173236130843,0.24742837246610352,2.0880476737389624,1.2089955110482307,0.34636447822721605,2.9229693257074887
15,1.212315203108375,0.6206787559581302,5.237907114694833,1.4605939661480833,0.22799578471408916,1.9240560940914808,1.075895462714217,0.2757777107069773,2.32728769773421
16,1.1279657861140693,0.606557690747489,5.118739466013658,1.3453107447194639,0.21738943678411338,1.8345491394067024,0.9772238424753986,0.2546908917883776,2.1493360636888106
