# of nodes,Seebeck: sample mean [%],Seebeck: half-length of 95% confidence interval for population mean [%],Seebeck: sample standard deviation [%],elec_resi: sample mean [%],elec_resi: half-length of 95% confidence interval for population mean [%],elec_resi: sample standard deviation [%],thrm_cond: sample mean [%],thrm_cond: half-length of 95% confidence interval for population mean [%],thrm_cond: sample standard deviation [%]
3,2.684880878641123,0.3864002415790216,3.260831074139567,5.62342269424955,1.1475963719563058,9.684564106256289,2.503329342601686,0.4169383196951736,3.518541870744453
4,1.5545217275661283,0.23016805355857217,1.9423878676963036,2.9049806134434233,0.5239204879238827,4.421364232121416,1.3966126844378586,0.2729712621305446,2.3036040822980253
5,1.2110660385440246,0.1917990705975748,1.6185920765470243,2.10263721960613,0.405721273883507,3.423881237528339,1.0734073393014651,0.26229029630093326,2.2134674272672408
6,0.9988160313434817,0.16659688547624887,1.4059108731295287,1.6874277926817616,0.31459154021435376,2.6548375482384436,0.9468866816910193,0.19349035055989958,1.6328647856780572
7,0.9248203474071734,0.1511702968905682,1.275725914593816,1.534945544834706,0.2923554760677504,2.467187435393013,0.8730858098527545,0.19258203433851703,1.625199506412895
8,0.9590968726136142,0.18514081292628798,1.5624030497870087,1.4754915681791738,0.31065072616189104,2.6215810242073934,0.8580544946708679,0.20751527865426678,1.7512211333754566
9,1.0182139003651196,0.20467643091282606,1.727264101433105,1.582094346515801,0.31886684101759344,2.6909168054706023,0.9932574552646906,0.2657920601397592,2.2430188071868797
10,1.1606473342821197,0.246069072020537,2.0765765392648174,1.7153165493721083,0.34249210597854624,2.890290381958651,0.9759111275543658,0.20282468569475867,1.7116372262433062
11,1.3537775209935785,0.33584532361343405,2.8341981952906776,2.0278261205484513,0.4938740217607626,4.167802148069903,1.2996674039710674,0.3735665132834856,3.152527259804115
12,1.6531874984916557,0.38196521672630773,3.223403905887259,2.2064824754031944,0.44579897265724006,3.7620968789247944,1.5032929181999954,0.441083503691494,3.7223030432123467
13,2.307166271847953,0.6142532209425615,5.183682034086408,3.3789814141145187,1.0119198062960326,8.539589766877986,1.942203139955729,0.6299859734423667,5.316450709446098
14,2.9268828145432133,0.7489058337350109,6.320015236709177,3.897797144269674,0.7623829469971315,6.433748575837626,2.388883548552142,0.8135136417302836,6.86524043398676
15,4.02489568876381,1.1387316185328147,9.609754465067196,6.417840562230532,1.8580530435691935,15.680106919992587,3.633312196049232,1.2515263854681093,10.561629338436603
16,6.176522179352913,1.8523097150315957,15.631638978855028,7.210775501737797,1.3471501527440577,11.368598170768285,5.598012590967649,2.07723991576198,17.52982461418696
