# of nodes,Seebeck: sample mean [%],Seebeck: half-length of 95% confidence interval for population mean [%],Seebeck: sample standard deviation [%],elec_resi: sample mean [%],elec_resi: half-length of 95% confidence interval for population mean [%],elec_resi: sample standard deviation [%],thrm_cond: sample mean [%],thrm_cond: half-length of 95% confidence interval for population mean [%],thrm_cond: sample standard deviation [%]
3,5.115574973310415,0.7109013791030285,5.999295699595866,8.058069296350254,1.2039197384639684,10.159876913923819,5.013306973271591,0.8577685496710457,7.238707537440707
4,3.6872007914392673,0.6186309926041822,5.220626042742729,5.669142785353666,0.9462292631399899,7.985227369160581,3.7284932662050325,0.7828414043910925,6.60639746789466
5,3.149309874367776,0.5702933967353191,4.812705141828502,4.440314774300117,0.7467882915512868,6.302145301314541,3.11139737700227,0.6528595589966425,5.509480864519433
6,2.7210371877124975,0.5337617864350672,4.504414935878783,3.88929712267218,0.6579639480533409,5.552556796311199,2.7570996543505073,0.5344001250633508,4.509801874630229
7,2.875099719514462,0.561613182590217,4.739452827340116,4.022174263894265,0.7162831725870077,6.044712646944156,2.8767995743445773,0.6489281443642971,5.47630366218102
8,3.2070052544083087,0.6122322876104046,5.166627380648996,4.244680114655557,0.8038634696540429,6.783802645934643,3.0103896609374714,0.6639438085212186,5.60302083006281
9,4.076489132454801,0.7787890907483295,6.5721999989839714,5.160599482726848,0.9600631699100551,8.101971688181287,3.8561058134434862,0.8839267100976116,7.459456215062407
10,5.3815660971635415,1.0742048929520702,9.06521352216735,6.898976861450812,1.3452768544853413,11.352789409499936,4.5874086625354265,0.947409279773766,7.9951855278089665
11,7.45074122462502,1.6703512446068145,14.096091712788708,9.56386182073362,2.1265870207625484,17.946264761188715,7.044459328209737,1.7471772946488893,14.744426636847926
12,10.976000664855036,2.3474222146843244,19.809892640045767,12.01080080990271,2.2651266388407763,19.11540039573911,9.47795152813728,2.4917891804066725,21.02820525285091
13,17.04185361767185,4.023331777980792,33.95289099613553,20.3107560094617,5.54738728082989,46.814393157974656,14.357447810945365,3.7757556361295324,31.863596296771135
14,24.53686884226232,5.919706015614276,49.956390416847924,27.147753115658695,5.058584441799151,42.68938671355422,19.83028840962861,6.518884226182376,55.01285446040941
15,36.37575510773285,9.540560962916837,80.51278002692418,47.27967751808871,12.43618376660097,104.94893663659693,33.05115743374728,9.510614526855266,80.26006209675349
16,62.360572981833094,17.53789392185721,148.00226118300722,62.315094152631566,11.467074295417799,96.77062322518883,56.5623307198628,18.536316691894456,156.42794948061697
