Noise [%],max_zT: sample mean [%],max_zT: half-length of 95% confidence interval for population mean [%],max_zT: sample standard deviation [%],T_for_(max_zT): sample mean [%],T_for_(max_zT): half-length of 95% confidence interval for population mean [%],T_for_(max_zT): sample standard deviation [%],max_power_density: sample mean [%],max_power_density: half-length of 95% confidence interval for population mean [%],max_power_density: sample standard deviation [%],I_for_(max_power_density): sample mean [%],I_for_(max_power_density): half-length of 95% confidence interval for population mean [%],I_for_(max_power_density): sample standard deviation [%],max_efficiency: sample mean [%],max_efficiency: half-length of 95% confidence interval for population mean [%],max_efficiency: sample standard deviation [%],I_for_(max_efficiency): sample mean [%],I_for_(max_efficiency): half-length of 95% confidence interval for population mean [%],I_for_(max_efficiency): sample standard deviation [%]
0,0.4565738109545132,0.1332925228784514,1.1248554058256859,0.8474853758593102,0.28547192007927474,2.4090971164634105,0.15835483558050392,0.03229293096836642,0.27251999726081483,0.1218559698317414,0.025093489796048876,0.21176392372629094,0.1461464642349542,0.03211407132039704,0.2710106009529222,0.11239980397354095,0.02357198496063315,0.1989239466431954
1,1.3310401696669392,0.15013749394687217,1.2670100920609304,1.4957920388560935,0.27633252919867096,2.331969810175001,0.4078846676500415,0.03760846690059256,0.31737779722666626,0.26984568246836826,0.02742498351755488,0.231439395835677,0.34164378881042623,0.036394790001419555,0.30713557964777455,0.23636372716822454,0.025497809249552476,0.21517597500368135
2,2.6187177331085634,0.23509850194952828,1.983995914464005,1.898265746322005,0.33043434662734644,2.788534968410732,0.7702773393298649,0.06535858174299729,0.5515609758377217,0.4863806493427947,0.045304350011862865,0.3823233435586915,0.6230774694636135,0.05437437173678753,0.4588652436436759,0.4242346780326522,0.04064211804525448,0.34297877480418576
3,3.7819743772215046,0.31047935740765764,2.6201348435407943,2.2848027199988414,0.34927459634419117,2.947527808244846,1.092754066005673,0.10103636509311803,0.8526457374027601,0.690918563784586,0.06247851102938378,0.5272560632934327,0.9304770490998009,0.09121722576849257,0.7697820349883906,0.6042144683068943,0.055869896038767686,0.4714859710430672
4,5.787698876378589,0.633469422575939,5.345847531594861,2.6642648525535977,0.40082526832548504,3.3825638537774463,1.3680142465654697,0.11968281968352486,1.0100031404480072,0.895394495726114,0.07468351015649036,0.6302540330951061,1.186794391510166,0.10724883831342225,0.9050727898322422,0.785326395577689,0.0672120126047233,0.5672020761718929
5,6.89753939841997,0.6032085758646959,5.090476290410955,3.369149732791308,0.4995999019024475,4.216122842219848,1.8238646860056005,0.1500159006158989,1.2659839661184995,1.117667009760038,0.09591993989947725,0.809468232668922,1.4885240897367575,0.13113469302800848,1.1066454828704717,0.9574479576369987,0.0849143509839597,0.7165920838904632
6,9.000790778384376,0.6833815430988744,5.7670558437643615,3.565575098687509,0.5132441345320166,4.331266501446025,2.0122127132048018,0.1926907145574284,1.6261166586215023,1.285266470302902,0.11834638434052844,0.9987249645410444,1.7357460274392655,0.1649596778761856,1.3920944805846185,1.1144469480094095,0.10396187320006334,0.8773340960429903
7,9.345650407185538,0.7799320779725177,6.581845666498947,4.030251487623677,0.5796863558240215,4.891972309854583,2.162637243737798,0.19833703641481443,1.6737659605264872,1.3831400463330021,0.12888657080507687,1.087673582715746,1.787001786210347,0.16626917523649024,1.403145326895003,1.218630465969988,0.11556030578555565,0.9752132516861983
8,11.140498620879027,0.837619677515496,7.0686712347583125,4.078094083684709,0.6016202725544797,5.077072601096614,2.6988063869259697,0.23925322773905494,2.019057639331604,1.6633366475891862,0.14484430236606796,1.2223408560440827,2.29313866783606,0.21706321414028745,1.8317961469920792,1.4256531719243493,0.1274370343131022,1.0754409463778007
9,14.33222103285774,1.1075909379122393,9.346958306807906,4.7091905265158,0.6123062744159374,5.167251755192791,3.131940080369315,0.29288754908579795,2.4716775988149373,1.9704130920021656,0.17740179981331175,1.4970935294336019,2.5390601282530936,0.23348538981907652,1.970382863551942,1.7137595778523687,0.15602282432301037,1.316676386506464
10,15.337713274794524,1.2454448389102266,10.510307175920005,4.359887328336591,0.6517985477348124,5.500526992031027,3.18800966041711,0.26615855065712635,2.246111620127485,2.0414315278442676,0.18381059734787794,1.551177362464303,2.5965602495300084,0.2293318087213611,1.9353307987368653,1.7851281833367716,0.16385887108044125,1.3828047736436537
